,genusspecies,genus,familia,ordo,classis,phylum,regio,16S,True Result,ERROR
691,Rhabdovirus carpio,Sprivivirus,Rhabdoviridae,Mononegavirales,Monjiviricetes,Negarnaviricota,,0,0,
261,Nippoleucon hinumensis,,,,,,,0,0,
592,Psammonobiotus dziwnowi,,,,,,,0,0,
591,Psammonobiotus communis,,,,,,,0,0,
235,Bemlos virgus,,,,,,,0,0,
229,Laticorophium baconi,,,,,,,0,0,
588,Trochammina hadai,Trochammina,Trochamminidae,Textulariida,,Foraminifera,,0,0,
190,Poricella robusta,,,,,,,0,0,
593,Psammonobiotus linearis,,,,,,,0,0,
176,Victorella pavida,,,,,,,0,0,
171,Acentropus niveus,,,,,,,0,0,
594,Trypanosoma,Trypanosoma,Trypanosomatidae,Trypanosomatida,Kinetoplastea,Euglenozoa,,0,0,
689,Ranavirus sp.,Ranavirus,Iridoviridae,Pimascovirales,Megaviricetes,Nucleocytoviricota,,0,0,
684,Penaeus monodon-type Baculovirus,,,,,,,0,0,
687,Novirhabdovirus sp.,,,,,,,0,0,
685,WSBV,,,,,,,0,0,
336,Gemma gemma,Gemma,Veneridae,Venerida,Bivalvia,Mollusca,,1,1,
427,Carex acutiformis,Carex,Cyperaceae,Poales,Magnoliopsida,Streptophyta,,1,1,
67,Platichthys flesus,Platichthys,Pleuronectidae,Pleuronectiformes,Actinopteri,Chordata,,1,1,
137,Stephanodiscus binderanus,Stephanodiscus,Stephanodiscaceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,,1,1,
287,Hemimysis anomala,Hemimysis,Mysidae,Mysida,Malacostraca,Arthropoda,,1,1,
297,Glugea hertwigi,Glugea,Glugeidae,,,Microsporidia,,1,1,
301,Alitta succinea,Alitta,Nereididae,Phyllodocida,Polychaeta,Annelida,,1,1,
302,Polydora ciliata,Polydora,Spionidae,Spionida,Polychaeta,Annelida,,1,1,
306,Euchone,Euchone,Sabellidae,Sabellida,Polychaeta,Annelida,,1,1 genus,
310,Sabellastarte spectabilis,Sabellastarte,Sabellidae,Sabellida,Polychaeta,Annelida,,1,1,
87,Dorosoma petenense,Dorosoma,Clupeidae,Clupeiformes,Actinopteri,Chordata,,1,1,
396,Agrostis stolonifera,Agrostis,Poaceae,Poales,Magnoliopsida,Streptophyta,,1,1,
312,Perna perna,Perna,Mytilidae,Mytiloida,Bivalvia,Mollusca,,1,1,
