OrganismNames,Barcodes,"Instructions: This downloadable template allows users of the Reference Sequence Browser upload a list of latin species names & barcode names, instead of typing them into the website's UI. This process is simple and easy. Just write one latin name and barcode name per row in the appropriate columns. Next download the file as a CSV and upload it on the website!",
Canis Lupus,16S,Common error: Do not change the column names (you can rewrite them if you accidently edit them). Only write in the first two columns of this CSV.,
Codium fragile subsp. tomentosoides,18S,"Example DNA barcode names are: COI, 12S, 18S",
Heterosiphonia,COI,"Example Organism_names: Canis Lupus, Pisaster, Homo Sapien",
Gallus gallus,,,
Sargassum muticum,,,
Bonnemaisonia hamifera,,,
Ficopomatus enigmaticus,,,
Rattus Rattus, ,,
Marenzelleria viridis,,,
Membranipora membranacea,,,
Bugula neritina,,,
Cordylophora caspia,,, 
Ectopleura crocea,,,
Mysis diluviana,,,
Caprella mutica,,,
Amphibalanus improvisus,,,
Bythotrephes longimanus,,,
Cercopagis pengoi,,,
Rhithropanopeus harrisii,,,
